Transaction_ID,Date,Season,Region,Hospital_Network,Sales_Rep,Manufacturer,Drug_Category,Drug_Name,Units_Sold,Unit_Price_USD,Discount_Applied_Perc,Gross_Revenue_USD,Net_Revenue_USD,Net_Profit_USD,Profit_Margin_Perc,Order_Priority,Insurance_Coverage_Perc,Approval_Status,Patient_Feedback_Score
TXN_135123,2023-02-06,Winter,East,Mount Sinai,William R.,Pfizer,Immunology,Stelara,253,2409.84,11.3,609689.31,540754.64,166037.92,30.7,High,50,Internal Audit,4.4
TXN_210132,2023-07-26,Summer,North,Tenet Healthcare,Sarah M.,Novartis,Respiratory,Advair,146,1531.96,21.4,223665.45,175804.87,72300.76,41.1,High,50,Approved,4.7
TXN_110154,2023-02-11,Winter,South,Johns Hopkins Hospital,Olivia K.,Novartis,Cardiovascular,Eliquis,215,1751.35,22.8,376540.38,290692.82,120461.07,41.4,Critical,80,Pending Review,4.0
TXN_997003,2022-01-31,Winter,West,Mass General Brigham,Sarah M.,Roche,Respiratory,Advair,757,2922.46,12.9,2212302.71,1927158.29,1110583.4,57.6,Critical,100,Approved,4.6
TXN_343221,2023-03-07,Spring,Midwest,Mass General Brigham,David L.,Roche,Respiratory,Advair,240,1319.25,21.2,316620.1,249599.29,139546.42,55.9,Low,100,Pending Review,4.6
TXN_266794,2024-02-08,Winter,North,Johns Hopkins Hospital,David L.,Roche,Oncology,Imbruvica,161,2623.42,11.8,422370.57,372533.37,178813.83,48.0,High,100,Approved,3.9
TXN_831249,2023-11-15,Autumn,Midwest,Johns Hopkins Hospital,Emma B.,AstraZeneca,Cardiovascular,Entresto,406,4319.46,11.9,1753700.2,1545326.46,915622.39,59.3,High,80,Pending Review,3.9
TXN_499843,2023-10-31,Autumn,West,HCA Healthcare,William R.,Pfizer,Immunology,Cosenyx,297,4266.72,12.4,1267217.32,1109949.45,554786.3,50.0,Low,50,Approved,4.9
TXN_984919,2022-11-05,Autumn,North,Mayo Clinic,Emma B.,Merck,Oncology,Revlimid,272,1583.51,8.8,430715.22,392736.58,170422.65,43.4,Low,50,Internal Audit,4.2
TXN_593036,2022-12-27,Winter,North,Cleveland Clinic,James T.,Merck,Respiratory,Spiriva,223,2733.08,21.7,609476.56,476967.06,162513.09,34.1,Low,80,Pending Review,3.8
TXN_176595,2024-06-24,Summer,Midwest,Stanford Health Care,Olivia K.,Novartis,Immunology,Humira,136,1789.13,13.5,243322.12,210575.4,67304.45,32.0,Critical,80,Internal Audit,4.5
TXN_287629,2022-08-23,Summer,West,Johns Hopkins Hospital,Emma B.,AstraZeneca,Oncology,Revlimid,263,1319.44,5.5,347013.11,328029.2,126394.96,38.5,Critical,50,Pending Review,4.8
TXN_112778,2023-06-06,Summer,Midwest,Tenet Healthcare,James T.,Roche,Cardiovascular,Eliquis,214,2707.38,6.3,579379.02,542819.96,174426.53,32.1,Medium,80,Pending Review,3.5
TXN_296836,2024-08-15,Summer,North,Johns Hopkins Hospital,James T.,AbbVie,Immunology,Humira,431,3911.98,6.6,1686064.92,1574159.37,729669.97,46.4,High,50,Pending Review,4.4
TXN_471939,2024-06-24,Summer,North,UCLA Medical Center,David L.,Merck,Respiratory,Fasenra,286,3464.06,8.8,990720.87,904013.51,478260.62,52.9,High,50,Approved,3.8
TXN_855855,2022-07-04,Summer,Midwest,HCA Healthcare,Emma B.,Novartis,Respiratory,Symbicort,308,3707.36,24.4,1141867.98,863370.25,307735.77,35.6,Critical,100,Internal Audit,4.4
TXN_173573,2024-12-03,Winter,North,Kaiser Permanente,David L.,Novartis,Cardiovascular,Xarelto,32,652.42,6.6,20877.3,19500.3,8617.5,44.2,Critical,80,Pending Review,4.4
TXN_376088,2022-03-16,Spring,South,Mass General Brigham,William R.,Pfizer,Immunology,Enbrel,30,2636.83,21.3,79104.86,62227.06,31119.41,50.0,High,50,Approved,3.9
TXN_940267,2023-11-30,Autumn,East,UCLA Medical Center,Olivia K.,Roche,Respiratory,Spiriva,341,3002.48,9.2,1023846.69,929383.37,527006.15,56.7,Medium,50,Pending Review,4.0
TXN_855644,2022-03-25,Spring,East,Tenet Healthcare,Emma B.,Roche,Neurology,Spinraza,123,4009.77,19.7,493201.97,396128.55,122921.18,31.0,Critical,50,Pending Review,4.1
TXN_153767,2024-05-28,Spring,West,Johns Hopkins Hospital,James T.,Novartis,Cardiovascular,Entresto,438,4910.73,9.3,2150900.77,1951300.11,1089892.14,55.9,High,100,Internal Audit,3.8
TXN_536131,2024-06-28,Summer,West,Cleveland Clinic,James T.,Johnson & Johnson,Respiratory,Symbicort,52,3479.31,12.9,180924.04,157615.54,75678.91,48.0,Critical,80,Pending Review,4.9
TXN_874383,2024-12-03,Winter,East,HCA Healthcare,Emma B.,AstraZeneca,Neurology,Biktarvy,132,718.42,23.1,94831.09,72918.9,41314.48,56.7,High,50,Approved,3.6
TXN_364625,2022-01-21,Winter,South,Johns Hopkins Hospital,David L.,Novartis,Cardiovascular,Xarelto,294,569.05,9.3,167301.65,151729.11,50290.52,33.1,Critical,50,Pending Review,4.1
TXN_268535,2022-05-14,Spring,South,Mayo Clinic,William R.,Novartis,Respiratory,Fasenra,350,1699.78,16.0,594921.95,499668.24,255600.74,51.2,Medium,100,Pending Review,5.0
TXN_423329,2022-01-16,Winter,North,Cleveland Clinic,Sarah M.,Johnson & Johnson,Neurology,Ocrevus,154,4267.89,23.4,657255.35,503285.27,237028.49,47.1,High,80,Approved,4.4
TXN_635814,2023-06-27,Summer,East,Cleveland Clinic,Michael S.,AstraZeneca,Immunology,Humira,441,2946.26,14.8,1299300.67,1106786.33,623867.35,56.4,Critical,100,Pending Review,4.3
TXN_792357,2022-04-11,Spring,North,Stanford Health Care,Emma B.,AstraZeneca,Neurology,Spinraza,152,1087.98,21.7,165372.3,129422.11,55804.48,43.1,Critical,100,Approved,3.6
TXN_844975,2024-10-07,Autumn,North,HCA Healthcare,Michael S.,Roche,Respiratory,Advair,154,737.86,7.7,113631.11,104908.94,55607.86,53.0,Critical,80,Pending Review,3.7
TXN_419101,2022-05-03,Spring,West,Mayo Clinic,Sarah M.,AbbVie,Oncology,Revlimid,98,2449.63,15.7,240064.0,202338.28,119490.55,59.1,Critical,80,Pending Review,4.0
TXN_269985,2022-01-04,Winter,West,Mass General Brigham,Emma B.,Johnson & Johnson,Respiratory,Fasenra,469,1591.74,13.3,746523.95,647305.91,302835.39,46.8,Medium,80,Pending Review,4.1
TXN_264827,2023-07-02,Summer,East,UCLA Medical Center,William R.,Novartis,Oncology,Revlimid,167,4209.33,11.6,702958.87,621381.77,358079.7,57.6,Critical,100,Approved,3.9
TXN_986321,2022-11-21,Autumn,South,Kaiser Permanente,William R.,AbbVie,Oncology,Revlimid,302,3877.36,6.7,1170964.16,1091940.05,407610.27,37.3,Low,80,Approved,4.3
TXN_785377,2024-09-02,Autumn,Midwest,Kaiser Permanente,William R.,AbbVie,Oncology,Opdivo,413,1648.9,19.1,680996.69,551069.93,312356.83,56.7,Critical,100,Internal Audit,3.9
TXN_905964,2023-06-17,Summer,North,UCLA Medical Center,James T.,Pfizer,Cardiovascular,Eliquis,107,1010.42,5.7,108115.23,101909.53,44684.09,43.8,Critical,100,Approved,4.5
TXN_667052,2023-07-21,Summer,South,Johns Hopkins Hospital,David L.,Pfizer,Immunology,Stelara,313,1216.07,6.1,380629.83,357321.09,169232.3,47.4,Critical,80,Internal Audit,3.9
TXN_447052,2024-03-12,Spring,East,Tenet Healthcare,Emma B.,AstraZeneca,Neurology,Tysabri,374,2114.48,23.1,790813.83,608503.9,325913.78,53.6,High,80,Pending Review,4.9
TXN_520018,2022-05-07,Spring,South,Stanford Health Care,David L.,AstraZeneca,Respiratory,Fasenra,451,2389.72,7.3,1077763.99,999314.76,561757.13,56.2,Critical,50,Pending Review,4.6
TXN_457420,2023-04-05,Spring,East,Mass General Brigham,David L.,Pfizer,Neurology,Biktarvy,50,4208.01,19.0,210400.32,170415.9,71894.18,42.2,Low,100,Approved,3.7
TXN_833515,2022-08-16,Summer,South,Mount Sinai,Olivia K.,AbbVie,Neurology,Ocrevus,30,4466.68,15.8,134000.27,112782.0,43915.67,38.9,Critical,100,Internal Audit,3.5
TXN_177718,2024-03-27,Spring,North,Mayo Clinic,David L.,Merck,Cardiovascular,Xarelto,222,1627.99,14.3,361413.5,309571.29,154763.22,50.0,Medium,100,Approved,4.5
TXN_918645,2024-12-23,Winter,East,Mass General Brigham,Olivia K.,AbbVie,Respiratory,Advair,784,749.92,23.6,587934.27,449289.93,187572.77,41.7,High,100,Approved,3.7
TXN_452011,2024-10-28,Autumn,West,Mayo Clinic,Emma B.,Johnson & Johnson,Cardiovascular,Eliquis,362,1156.51,10.9,418654.9,372848.28,112206.22,30.1,Low,80,Internal Audit,3.7
TXN_685132,2022-02-17,Winter,East,Cleveland Clinic,Michael S.,AbbVie,Neurology,Ocrevus,175,4020.11,23.1,703519.28,540663.64,300228.98,55.5,Low,80,Approved,3.8
TXN_381214,2023-06-28,Summer,East,Mount Sinai,Emma B.,Roche,Immunology,Enbrel,328,1344.14,20.8,440877.18,349140.22,180083.19,51.6,Low,80,Approved,4.7
TXN_561525,2024-07-22,Summer,East,Cleveland Clinic,Michael S.,Johnson & Johnson,Immunology,Humira,126,724.95,23.6,91344.19,69776.62,32042.94,45.9,Low,80,Pending Review,4.3
TXN_906119,2024-01-13,Winter,Midwest,Mayo Clinic,William R.,AbbVie,Immunology,Cosenyx,490,881.85,13.8,432108.37,372270.58,216698.8,58.2,High,100,Pending Review,4.7
TXN_379638,2024-05-23,Spring,West,Tenet Healthcare,Emma B.,AbbVie,Immunology,Cosenyx,188,1000.01,17.1,188002.42,155927.55,70574.09,45.3,Critical,80,Pending Review,4.7
TXN_607984,2023-07-14,Summer,South,Mount Sinai,James T.,Pfizer,Respiratory,Fasenra,378,1954.69,16.3,738871.6,618421.74,323298.29,52.3,Medium,50,Pending Review,4.5
TXN_188842,2022-06-10,Summer,East,Kaiser Permanente,Sarah M.,Roche,Cardiovascular,Eliquis,198,3808.72,23.9,754126.11,573647.74,227316.9,39.6,Critical,100,Internal Audit,4.3
TXN_928992,2023-01-09,Winter,West,Mayo Clinic,Michael S.,AstraZeneca,Neurology,Ocrevus,78,2682.35,24.2,209223.45,158627.1,91304.16,57.6,Critical,100,Pending Review,4.1
TXN_151573,2023-10-06,Autumn,South,Stanford Health Care,Michael S.,Pfizer,Respiratory,Symbicort,385,3141.09,18.6,1209320.56,984743.77,578185.96,58.7,Low,50,Approved,3.6
TXN_359953,2023-08-08,Summer,North,HCA Healthcare,Michael S.,Novartis,Oncology,Imbruvica,208,3981.92,19.8,828239.29,663947.49,290777.52,43.8,High,50,Internal Audit,4.8
TXN_393391,2023-10-03,Autumn,South,Mount Sinai,Sarah M.,Novartis,Immunology,Stelara,160,1664.71,13.7,266354.13,229897.26,126549.35,55.0,Medium,80,Pending Review,4.7
TXN_220844,2023-07-31,Summer,West,Johns Hopkins Hospital,Sarah M.,Johnson & Johnson,Immunology,Humira,439,1957.19,7.6,859204.67,793740.64,357445.84,45.0,High,100,Pending Review,4.0
TXN_945678,2024-01-24,Winter,West,Stanford Health Care,Emma B.,Merck,Cardiovascular,Eliquis,490,2978.39,14.2,1459409.58,1252558.94,637909.99,50.9,Medium,50,Internal Audit,4.1
TXN_830454,2023-10-06,Autumn,Midwest,Mass General Brigham,Olivia K.,Johnson & Johnson,Respiratory,Advair,245,3761.58,21.1,921586.35,726826.72,361576.78,49.7,High,50,Internal Audit,4.8
TXN_418132,2023-03-05,Spring,South,Stanford Health Care,Olivia K.,Roche,Cardiovascular,Xarelto,388,1267.65,21.7,491846.68,385178.61,205342.15,53.3,Critical,80,Pending Review,4.5
TXN_486003,2022-08-27,Summer,South,Stanford Health Care,Michael S.,Pfizer,Oncology,Revlimid,370,1586.55,12.3,587022.89,515022.83,165128.49,32.1,Critical,50,Internal Audit,3.6
TXN_522731,2023-02-26,Winter,North,HCA Healthcare,Sarah M.,Roche,Cardiovascular,Eliquis,261,687.57,24.7,179456.69,135112.42,40604.05,30.1,Low,80,Approved,4.0
TXN_675481,2022-03-29,Spring,North,Mount Sinai,James T.,Johnson & Johnson,Cardiovascular,Lipitor,285,3355.02,13.3,956181.03,829070.65,410533.39,49.5,Low,80,Internal Audit,4.1
TXN_493469,2022-06-21,Summer,Midwest,Cleveland Clinic,Emma B.,Merck,Oncology,Imbruvica,182,682.75,13.8,124260.61,107153.36,50959.99,47.6,Low,50,Internal Audit,3.5
TXN_589263,2023-03-08,Spring,North,Tenet Healthcare,Olivia K.,AbbVie,Respiratory,Symbicort,308,2967.67,18.4,914041.89,746154.27,444865.69,59.6,High,50,Internal Audit,4.4
TXN_869655,2024-04-02,Spring,North,HCA Healthcare,David L.,AbbVie,Neurology,Biktarvy,349,1902.91,18.7,664114.57,539834.45,225474.81,41.8,Critical,50,Internal Audit,4.5
TXN_807741,2022-02-04,Winter,South,Mass General Brigham,James T.,Johnson & Johnson,Cardiovascular,Entresto,315,4535.01,12.9,1428528.82,1244769.46,715264.9,57.5,Critical,100,Pending Review,4.4
TXN_414975,2023-04-06,Spring,West,Mount Sinai,Sarah M.,Merck,Immunology,Cosenyx,233,1543.91,8.0,359730.26,330865.58,130187.11,39.3,Medium,80,Approved,3.8
TXN_482788,2023-12-22,Winter,West,Johns Hopkins Hospital,Michael S.,Roche,Immunology,Humira,369,1979.0,14.8,730252.65,622333.06,347386.88,55.8,Low,80,Approved,3.9
TXN_768600,2022-01-20,Winter,North,HCA Healthcare,James T.,Merck,Cardiovascular,Xarelto,401,4886.71,10.7,1959571.79,1750786.51,985035.03,56.3,High,100,Pending Review,4.7
TXN_234687,2022-08-21,Summer,West,Cleveland Clinic,Sarah M.,Roche,Neurology,Biktarvy,471,1945.75,10.4,916450.53,820860.15,389008.34,47.4,Medium,100,Internal Audit,3.6
TXN_728481,2022-04-13,Spring,Midwest,Mount Sinai,Michael S.,AstraZeneca,Respiratory,Symbicort,68,1613.78,9.7,109736.93,99061.92,31997.44,32.3,Medium,100,Pending Review,3.6
TXN_611754,2023-10-01,Autumn,South,Cleveland Clinic,Olivia K.,Roche,Respiratory,Spiriva,223,1292.96,24.4,288331.17,218091.53,111493.41,51.1,High,100,Approved,4.7
TXN_277333,2022-09-30,Autumn,North,Mayo Clinic,David L.,AstraZeneca,Neurology,Ocrevus,56,1034.73,6.0,57945.03,54445.44,28881.47,53.0,Low,80,Approved,4.5
TXN_795476,2022-01-24,Winter,West,Johns Hopkins Hospital,David L.,Johnson & Johnson,Oncology,Revlimid,347,2125.65,16.3,737600.2,617469.48,273861.16,44.4,Low,50,Pending Review,4.8
TXN_835937,2022-01-27,Winter,West,Stanford Health Care,James T.,AbbVie,Neurology,Spinraza,453,2482.06,16.7,1124372.53,936867.91,493314.7,52.7,High,100,Pending Review,4.6
TXN_326315,2024-08-03,Summer,West,Mass General Brigham,David L.,Novartis,Neurology,Spinraza,254,906.98,21.6,230373.56,180522.97,67839.03,37.6,Medium,100,Pending Review,4.0
TXN_419545,2023-09-05,Autumn,Midwest,Johns Hopkins Hospital,Emma B.,Roche,Neurology,Ocrevus,162,1211.67,15.8,196291.2,165227.37,81666.33,49.4,Low,80,Approved,4.4
TXN_602312,2024-08-31,Summer,West,Tenet Healthcare,Michael S.,Pfizer,Neurology,Spinraza,448,4559.0,10.7,2042430.42,1824786.44,997302.76,54.7,Critical,50,Approved,4.5
TXN_750817,2024-01-15,Winter,West,Cleveland Clinic,Sarah M.,Pfizer,Oncology,Imbruvica,152,2549.06,21.3,387456.55,304984.28,102525.69,33.6,Low,50,Pending Review,4.6
TXN_976848,2023-07-10,Summer,East,HCA Healthcare,David L.,AbbVie,Cardiovascular,Entresto,335,2731.32,9.0,914991.43,832565.05,443265.78,53.2,Critical,80,Internal Audit,3.9
TXN_838805,2022-04-16,Spring,North,Mount Sinai,David L.,AstraZeneca,Neurology,Biktarvy,133,2848.46,11.1,378844.98,336660.58,195650.45,58.1,High,100,Internal Audit,4.1
TXN_904424,2023-05-07,Spring,North,Tenet Healthcare,David L.,Roche,Oncology,Revlimid,75,1616.67,14.3,121250.19,103908.33,53943.4,51.9,Medium,50,Pending Review,4.6
TXN_754810,2023-01-08,Winter,Midwest,Stanford Health Care,Emma B.,Pfizer,Oncology,Keytruda,159,4794.05,19.2,762253.36,615967.11,212185.27,34.4,Medium,50,Pending Review,4.7
TXN_469827,2023-08-22,Summer,East,Tenet Healthcare,James T.,Novartis,Neurology,Spinraza,449,3437.31,10.5,1543351.89,1380955.43,416626.82,30.2,High,50,Internal Audit,3.8
TXN_232314,2022-02-25,Winter,Midwest,Mass General Brigham,Michael S.,Merck,Immunology,Cosenyx,352,3892.78,5.5,1370260.21,1294275.99,413180.81,31.9,High,50,Pending Review,4.5
TXN_372016,2023-12-06,Winter,East,Tenet Healthcare,David L.,Novartis,Oncology,Opdivo,307,2797.8,20.2,858925.03,685824.91,299944.64,43.7,High,100,Approved,4.1
TXN_804949,2024-01-27,Winter,East,Mount Sinai,James T.,Merck,Neurology,Biktarvy,349,1294.54,12.0,451795.42,397436.76,222743.72,56.0,Medium,100,Approved,4.6
TXN_786580,2022-01-15,Winter,Midwest,HCA Healthcare,Olivia K.,Novartis,Cardiovascular,Lipitor,356,666.48,14.0,237266.97,203939.11,65711.63,32.2,Low,50,Approved,4.8
TXN_151360,2022-03-01,Spring,North,UCLA Medical Center,Sarah M.,AstraZeneca,Neurology,Ocrevus,276,1518.92,5.3,419220.79,397146.22,204113.87,51.4,Low,80,Approved,3.8
TXN_103876,2022-05-29,Spring,East,Johns Hopkins Hospital,Michael S.,AbbVie,Neurology,Biktarvy,331,798.89,20.1,264432.48,211264.52,90020.99,42.6,Low,80,Approved,4.1
TXN_221669,2024-10-27,Autumn,Midwest,Johns Hopkins Hospital,Emma B.,Novartis,Neurology,Ocrevus,272,4565.14,18.8,1241719.06,1007890.66,385349.49,38.2,Critical,100,Internal Audit,5.0
TXN_239006,2024-10-17,Autumn,West,Cleveland Clinic,Sarah M.,Johnson & Johnson,Oncology,Keytruda,173,1574.44,18.4,272378.32,222259.93,81406.34,36.6,Critical,80,Approved,3.7
TXN_881601,2022-02-18,Winter,East,Mount Sinai,Michael S.,Johnson & Johnson,Cardiovascular,Xarelto,56,4633.98,23.0,259503.14,199942.35,64961.62,32.5,Medium,100,Pending Review,5.0
TXN_293080,2023-08-01,Summer,South,Mount Sinai,Olivia K.,AstraZeneca,Cardiovascular,Entresto,481,1626.2,8.2,782203.11,718173.97,270221.14,37.6,Low,100,Pending Review,3.9
TXN_132217,2022-11-30,Autumn,East,Stanford Health Care,Emma B.,Novartis,Respiratory,Symbicort,225,1504.67,17.4,338551.74,279561.7,91336.59,32.7,Medium,80,Approved,4.2
TXN_681863,2022-08-16,Summer,North,Stanford Health Care,Michael S.,Novartis,Oncology,Opdivo,199,2065.16,8.3,410966.13,376861.59,182254.23,48.4,Low,100,Internal Audit,4.9
TXN_137565,2022-08-15,Summer,East,Kaiser Permanente,James T.,Roche,Immunology,Enbrel,160,1923.74,11.6,307798.1,272180.7,104087.58,38.2,Critical,100,Internal Audit,3.9
TXN_424641,2022-03-30,Spring,East,Mass General Brigham,Olivia K.,Novartis,Oncology,Revlimid,368,4805.44,14.4,1768401.66,1513543.69,563658.32,37.2,Low,80,Internal Audit,3.6
TXN_243337,2024-06-15,Summer,Midwest,Kaiser Permanente,William R.,Merck,Oncology,Keytruda,219,1962.95,9.2,429886.93,390521.8,159758.78,40.9,Medium,50,Pending Review,3.6
TXN_769892,2022-12-27,Winter,South,Mount Sinai,David L.,AbbVie,Immunology,Stelara,270,3955.2,18.6,1067903.8,869632.04,453903.27,52.2,Low,100,Pending Review,4.5
TXN_728321,2022-05-01,Spring,West,HCA Healthcare,Emma B.,Novartis,Oncology,Imbruvica,245,922.6,21.6,226036.41,177229.55,62602.67,35.3,High,50,Approved,3.8
TXN_138448,2022-02-09,Winter,North,Kaiser Permanente,James T.,Roche,Oncology,Imbruvica,491,1532.31,18.5,752364.34,613042.79,346052.04,56.4,Low,100,Approved,3.8
TXN_143145,2023-03-30,Spring,East,Stanford Health Care,David L.,Merck,Neurology,Biktarvy,298,1254.26,23.4,373769.74,286179.86,97372.51,34.0,Critical,50,Approved,3.6
TXN_166759,2022-05-08,Spring,West,Cleveland Clinic,William R.,AstraZeneca,Cardiovascular,Xarelto,351,723.07,23.7,253797.68,193723.9,63145.12,32.6,Critical,80,Internal Audit,4.3
TXN_952205,2023-07-02,Summer,South,Mayo Clinic,David L.,AstraZeneca,Cardiovascular,Xarelto,230,2938.32,20.5,675813.35,537548.25,198526.98,36.9,Critical,50,Internal Audit,4.7
TXN_932111,2024-09-15,Autumn,East,Mass General Brigham,Olivia K.,Roche,Respiratory,Spiriva,455,2747.98,13.0,1250329.58,1087481.34,434153.59,39.9,Medium,80,Approved,4.5
TXN_952633,2023-06-01,Summer,West,Mass General Brigham,Michael S.,Johnson & Johnson,Oncology,Revlimid,339,1811.97,14.1,614258.22,527900.13,254356.46,48.2,High,80,Pending Review,4.8
TXN_510712,2022-12-23,Winter,West,HCA Healthcare,Emma B.,Pfizer,Neurology,Spinraza,433,3229.35,24.9,1398308.37,1050222.52,543523.73,51.8,Low,80,Pending Review,5.0
TXN_914009,2024-09-07,Autumn,South,Stanford Health Care,Olivia K.,AstraZeneca,Cardiovascular,Lipitor,88,572.49,17.7,50379.19,41470.39,22572.11,54.4,Medium,50,Internal Audit,4.9
TXN_833682,2023-12-20,Winter,North,Johns Hopkins Hospital,Olivia K.,Roche,Cardiovascular,Xarelto,177,1140.11,15.1,201799.85,171243.63,73416.21,42.9,High,50,Internal Audit,3.9
TXN_844713,2024-11-21,Autumn,Midwest,Cleveland Clinic,Michael S.,Pfizer,Oncology,Imbruvica,163,521.43,22.9,84993.2,65543.85,36065.3,55.0,Medium,80,Pending Review,3.6
TXN_839353,2023-02-01,Winter,West,Mayo Clinic,Olivia K.,Merck,Respiratory,Fasenra,657,2461.37,5.3,1617121.15,1531918.15,768009.38,50.1,High,80,Internal Audit,4.1
TXN_878392,2024-06-29,Summer,East,Mount Sinai,James T.,AbbVie,Oncology,Keytruda,201,4913.76,7.9,987665.2,909378.43,352779.89,38.8,High,100,Internal Audit,3.9
TXN_462235,2022-06-04,Summer,North,UCLA Medical Center,Sarah M.,Johnson & Johnson,Immunology,Humira,198,3153.5,13.2,624392.23,542256.4,313753.5,57.9,High,100,Approved,4.7
TXN_442538,2023-10-14,Autumn,West,UCLA Medical Center,William R.,Novartis,Respiratory,Symbicort,80,2011.72,15.2,160937.37,136460.64,60520.95,44.4,Low,50,Approved,4.0
TXN_568342,2024-07-10,Summer,Midwest,Tenet Healthcare,James T.,AbbVie,Cardiovascular,Xarelto,118,2503.14,9.5,295370.13,267323.07,95734.35,35.8,Low,50,Approved,3.7
TXN_776189,2023-01-15,Winter,South,Mount Sinai,James T.,Pfizer,Oncology,Imbruvica,267,2763.7,13.6,737908.44,637606.99,202243.66,31.7,High,80,Internal Audit,4.3
TXN_845641,2024-11-07,Autumn,West,Cleveland Clinic,Michael S.,Pfizer,Respiratory,Spiriva,395,1604.78,25.0,633889.93,475501.85,272584.95,57.3,Low,50,Internal Audit,4.3
TXN_330929,2023-11-04,Autumn,South,Tenet Healthcare,William R.,AbbVie,Immunology,Stelara,283,4416.38,8.1,1249836.77,1148697.06,652096.85,56.8,High,80,Approved,5.0
TXN_336915,2024-12-18,Winter,Midwest,Kaiser Permanente,James T.,Merck,Respiratory,Spiriva,360,4330.18,9.2,1558865.31,1415784.82,763465.75,53.9,Critical,80,Internal Audit,4.4
TXN_222711,2022-09-02,Autumn,West,Stanford Health Care,Sarah M.,Novartis,Cardiovascular,Eliquis,83,1474.22,10.5,122359.96,109487.38,65167.88,59.5,High,80,Approved,3.9
TXN_452099,2022-01-15,Winter,West,Johns Hopkins Hospital,Sarah M.,Pfizer,Immunology,Humira,46,4102.27,13.8,188704.42,162694.29,65890.86,40.5,High,80,Pending Review,3.7
TXN_493078,2022-11-21,Autumn,Midwest,UCLA Medical Center,James T.,AstraZeneca,Cardiovascular,Xarelto,271,2684.17,7.8,727410.12,670722.02,378383.76,56.4,Medium,80,Approved,4.4
TXN_424166,2024-07-13,Summer,North,Mass General Brigham,James T.,AbbVie,Oncology,Keytruda,118,2166.85,12.9,255688.03,222756.57,98537.81,44.2,Critical,100,Approved,4.4
TXN_547416,2024-05-12,Spring,South,HCA Healthcare,James T.,AstraZeneca,Immunology,Stelara,97,4983.76,18.1,483425.05,395734.63,220889.47,55.8,Medium,80,Approved,3.5
TXN_729782,2024-03-09,Spring,South,Kaiser Permanente,Emma B.,AstraZeneca,Cardiovascular,Xarelto,87,2310.19,22.6,200986.32,155619.25,83010.62,53.3,High,80,Internal Audit,4.9
TXN_672469,2022-08-22,Summer,Midwest,Kaiser Permanente,Emma B.,Roche,Respiratory,Fasenra,258,743.18,24.0,191740.36,145703.58,86212.51,59.2,Medium,100,Pending Review,4.9
